Date,Symbols,Close,High,Low,Open,Volume
2022-04-25,AMZN,2921.48,2924.43,2846.1309,2880.46,3093749
2022-04-25,AAPL,162.88,163.17,158.46,161.12,96046376
2022-04-25,GOOGL,2461.48,2465.55,2370.22,2382.02,2306413
2022-04-25,FB,186.99,187.18,181.655,182.73,29281060
2022-04-25,MRNA,150.41,151.37,139.4001,139.9,6101025
2022-04-25,BA,175.91,176.08,172.45,174.51,6293100
2022-04-25,TSLA,998.02,1008.62,975.3,978.97,22780445
2022-04-25,MSFT,280.72,281.11,270.77,273.29,35678852
2022-04-25,V,209.95,210.5312,205.33,206.35,6839415
2022-04-25,MA,354.6,355.06,347.15,349.28,3380449
2022-04-22,AMZN,2887.0,2992.3,2873.9501,2965.0,3653929
2022-04-22,AAPL,161.79,167.8699,161.5,166.46,84882424
2022-04-22,GOOGL,2392.71,2508.04,2378.5,2500.0,2844186
2022-04-22,FB,184.11,192.72,183.27,190.37,36426769
2022-04-22,MRNA,140.34,148.81,139.865,143.23,4114099
2022-04-22,BA,176.92,182.67,176.5,180.78,6372406
2022-04-22,TSLA,1005.05,1034.85,994.0001,1014.91,23232186
2022-04-22,MSFT,274.03,283.2,273.38,281.68,29405798
2022-04-22,V,208.17,216.56,207.95,216.24,6201091
2022-04-22,MA,351.18,362.095,350.61,360.5,2968820
2022-04-21,AMZN,2965.92,3134.76,2951.79,3094.28,3198466
2022-04-21,AAPL,166.42,171.53,165.91,168.91,87227768
2022-04-21,GOOGL,2496.29,2601.97,2490.53,2585.0,1822258
2022-04-21,FB,188.07,202.965,185.58,201.6,49954078
2022-04-21,MRNA,144.5,154.71,144.03,149.43,3911726
2022-04-21,BA,181.02,189.85,180.55,188.73,7446130
2022-04-21,TSLA,1008.78,1092.22,996.415,1074.73,35138779
2022-04-21,MSFT,280.81,293.3,280.06,288.58,29454587
2022-04-21,V,216.45,223.92,215.35,219.51,8850268
2022-04-21,MA,364.44,375.22,363.46,369.48,3605298
2022-04-20,AMZN,3079.96,3152.05,3072.07,3152.05,2981501
2022-04-20,AAPL,167.23,168.88,166.1,168.76,67929814
2022-04-20,GOOGL,2560.8,2627.98,2550.0,2617.84,1584773
2022-04-20,FB,200.42,214.16,198.92,213.605,43036528
2022-04-20,MRNA,150.12,153.67,146.5601,152.97,3925617
2022-04-20,BA,183.55,187.34,182.86,187.24,6824287
